Month	L	M	  S             SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
3	1	13.4817	  0.07475	10.7	11.6	12.5	13.5	14.5	15.6	16.7
4	1	13.8097	  0.07523	10.9	11.8	12.8	13.8	14.9	16.0	17.2
5	1	14.0585	  0.07566	11.1	12.0	13.0	14.1	15.2	16.3	17.5
6	1	14.2389	  0.07601	11.3	12.2	13.2	14.2	15.4	16.5	17.8
7	1	14.3678	  0.07629	11.4	12.3	13.3	14.4	15.5	16.7	18.0
8	1	14.4591	  0.07650	11.4	12.4	13.4	14.5	15.6	16.8	18.1
9	1	14.5245	  0.07665	11.5	12.4	13.4	14.5	15.7	16.9	18.2
10	1	14.5733	  0.07676	11.5	12.5	13.5	14.6	15.7	17.0	18.3
11	1	14.6119	  0.07683	11.6	12.5	13.5	14.6	15.8	17.0	18.3
12	1	14.6449	  0.07689	11.6	12.5	13.6	14.6	15.8	17.1	18.4
13	1	14.6758	  0.07694	11.6	12.6	13.6	14.7	15.8	17.1	18.4
14	1	14.7063	  0.07699	11.6	12.6	13.6	14.7	15.9	17.1	18.5
15	1	14.7380	  0.07703	11.7	12.6	13.6	14.7	15.9	17.2	18.5
16	1	14.7723	  0.07707	11.7	12.7	13.7	14.8	16.0	17.2	18.6
17	1	14.8095	  0.07710	11.7	12.7	13.7	14.8	16.0	17.3	18.6
18	1	14.8496	  0.07713	11.8	12.7	13.7	14.8	16.0	17.3	18.7
19	1	14.8926	  0.07717	11.8	12.8	13.8	14.9	16.1	17.4	18.8
20	1	14.9388	  0.07721	11.9	12.8	13.8	14.9	16.1	17.4	18.8
21	1	14.9883	  0.07725	11.9	12.8	13.9	15.0	16.2	17.5	18.9
22	1	15.0410	  0.07731	11.9	12.9	13.9	15.0	16.3	17.6	19.0
23	1	15.0964	  0.07738	12.0	12.9	14.0	15.1	16.3	17.6	19.1
24	1	15.1536	  0.07746	12.0	13.0	14.0	15.2	16.4	17.7	19.2
25	1	15.2115	  0.07755	12.1	13.0	14.1	15.2	16.4	17.8	19.2
26	1	15.2693	  0.07767	12.1	13.1	14.1	15.3	16.5	17.9	19.3
27	1	15.3259	  0.07780	12.2	13.1	14.2	15.3	16.6	17.9	19.4
28	1	15.3808	  0.07794	12.2	13.2	14.2	15.4	16.6	18.0	19.5
29	1	15.4336	  0.07810	12.3	13.2	14.3	15.4	16.7	18.1	19.6
30	1	15.4839	  0.07827	12.3	13.3	14.3	15.5	16.8	18.1	19.7
31	1	15.5317	  0.07846	12.3	13.3	14.4	15.5	16.8	18.2	19.7
32	1	15.5771	  0.07866	12.4	13.3	14.4	15.6	16.9	18.3	19.8
33	1	15.6201	  0.07887	12.4	13.4	14.4	15.6	16.9	18.3	19.9
34	1	15.6611	  0.07909	12.4	13.4	14.5	15.7	17.0	18.4	20.0
35	1	15.7003	  0.07933	12.4	13.4	14.5	15.7	17.0	18.4	20.0
36	1	15.7380	  0.07956	12.5	13.5	14.5	15.7	17.1	18.5	20.1
37	1	15.7745	  0.07981	12.5	13.5	14.6	15.8	17.1	18.6	20.2
38	1	15.8101	  0.08006	12.5	13.5	14.6	15.8	17.1	18.6	20.2
