Month     Sex       L            M            S            SD3neg    SD2neg    SD1neg    SD0       SD1       SD2       SD3
00        1         +0.3487      03.3464      0.14602      02.1      02.5      02.9      03.3      03.9      04.4      05.0
01        1         +0.2297      04.4709      0.13395      02.9      03.4      03.9      04.5      05.1      05.8      06.6
02        1         +0.1970      05.5675      0.12385      03.8      04.3      04.9      05.6      06.3      07.1      08.0
03        1         +0.1738      06.3762      0.11727      04.4      05.0      05.7      06.4      07.2      08.0      09.0
04        1         +0.1553      07.0023      0.11316      04.9      05.6      06.2      07.0      07.8      08.7      09.7
05        1         +0.1395      07.5105      0.11080      05.3      06.0      06.7      07.5      08.4      09.3      10.4
06        1         +0.1257      07.9340      0.10958      05.7      06.4      07.1      07.9      08.8      09.8      10.9
07        1         +0.1134      08.2970      0.10902      05.9      06.7      07.4      08.3      09.2      10.3      11.4
08        1         +0.1021      08.6151      0.10882      06.2      06.9      07.7      08.6      09.6      10.7      11.9
09        1         +0.0917      08.9014      0.10881      06.4      07.1      08.0      08.9      09.9      11.0      12.3
10        1         +0.0820      09.1649      0.10891      06.6      07.4      08.2      09.2      10.2      11.4      12.7
11        1         +0.0730      09.4122      0.10906      06.8      07.6      08.4      09.4      10.5      11.7      13.0
12        1         +0.0644      09.6479      0.10925      06.9      07.7      08.6      09.6      10.8      12.0      13.3
13        1         +0.0563      09.8749      0.10949      07.1      07.9      08.8      09.9      11.0      12.3      13.7
14        1         +0.0487      10.0953      0.10976      07.2      08.1      09.0      10.1      11.3      12.6      14.0
15        1         +0.0413      10.3108      0.11007      07.4      08.3      09.2      10.3      11.5      12.8      14.3
16        1         +0.0343      10.5228      0.11041      07.5      08.4      09.4      10.5      11.7      13.1      14.6
17        1         +0.0275      10.7319      0.11079      07.7      08.6      09.6      10.7      12.0      13.4      14.9
18        1         +0.0211      10.9385      0.11119      07.8      08.8      09.8      10.9      12.2      13.7      15.3
19        1         +0.0148      11.1430      0.11164      08.0      08.9      10.0      11.1      12.5      13.9      15.6
20        1         +0.0087      11.3462      0.11211      08.1      09.1      10.1      11.3      12.7      14.2      15.9
21        1         +0.0029      11.5486      0.11261      08.2      09.2      10.3      11.5      12.9      14.5      16.2
22        1         -0.0028      11.7504      0.11314      08.4      09.4      10.5      11.8      13.2      14.7      16.5
23        1         -0.0083      11.9514      0.11369      08.5      09.5      10.7      12.0      13.4      15.0      16.8
24        1         -0.0137      12.1515      0.11426      08.6      09.7      10.8      12.2      13.6      15.3      17.1
25        1         -0.0189      12.3502      0.11485      08.8      09.8      11.0      12.4      13.9      15.5      17.5
26        1         -0.0240      12.5466      0.11544      08.9      10.0      11.2      12.5      14.1      15.8      17.8
27        1         -0.0289      12.7401      0.11604      09.0      10.1      11.3      12.7      14.3      16.1      18.1
28        1         -0.0337      12.9303      0.11664      09.1      10.2      11.5      12.9      14.5      16.3      18.4
29        1         -0.0385      13.1169      0.11723      09.2      10.4      11.7      13.1      14.8      16.6      18.7
30        1         -0.0431      13.3000      0.11781      09.4      10.5      11.8      13.3      15.0      16.9      19.0
31        1         -0.0476      13.4798      0.11839      09.5      10.7      12.0      13.5      15.2      17.1      19.3
32        1         -0.0520      13.6567      0.11896      09.6      10.8      12.1      13.7      15.4      17.4      19.6
33        1         -0.0564      13.8309      0.11953      09.7      10.9      12.3      13.8      15.6      17.6      19.9
34        1         -0.0606      14.0031      0.12008      09.8      11.0      12.4      14.0      15.8      17.8      20.2
35        1         -0.0648      14.1736      0.12062      09.9      11.2      12.6      14.2      16.0      18.1      20.4
36        1         -0.0689      14.3429      0.12116      10.0      11.3      12.7      14.3      16.2      18.3      20.7
37        1         -0.0729      14.5113      0.12168      10.1      11.4      12.9      14.5      16.4      18.6      21.0
38        1         -0.0769      14.6791      0.12220      10.2      11.5      13.0      14.7      16.6      18.8      21.3
39        1         -0.0808      14.8466      0.12271      10.3      11.6      13.1      14.8      16.8      19.0      21.6
