Length   Sexo    L           M           S           SD3neg     SD2neg     SD1neg     SD0      SD1      SD2      SD3
45.0     m       -0.3521     2.4410      0.09182     1.9        2.0        2.2        2.4      2.7      3.0      3.30
45.5     m       -0.3521     2.5244      0.09153     1.9        2.1        2.3        2.5      2.8      3.1      3.40
46.0     m       -0.3521     2.6077      0.09124     2.0        2.2        2.4        2.6      2.9      3.1      3.50
46.5     m       -0.3521     2.6913      0.09094     2.1        2.3        2.5        2.7      3.0      3.2      3.60
47.0     m       -0.3521     2.7755      0.09065     2.1        2.3        2.5        2.8      3.0      3.3      3.70
47.5     m       -0.3521     2.8609      0.09036     2.2        2.4        2.6        2.9      3.1      3.4      3.80
48.0     m       -0.3521     2.9480      0.09007     2.3        2.5        2.7        2.9      3.2      3.6      3.90
48.5     m       -0.3521     3.0377      0.08977     2.3        2.6        2.8        3.0      3.3      3.7      4.00
49.0     m       -0.3521     3.1308      0.08948     2.4        2.6        2.9        3.1      3.4      3.8      4.20
49.5     m       -0.3521     3.2276      0.08919     2.5        2.7        3.0        3.2      3.5      3.9      4.30
50.0     m       -0.3521     3.3278      0.08890     2.6        2.8        3.0        3.3      3.6      4.0      4.40
50.5     m       -0.3521     3.4311      0.08861     2.7        2.9        3.1        3.4      3.8      4.1      4.50
51.0     m       -0.3521     3.5376      0.08831     2.7        3.0        3.2        3.5      3.9      4.2      4.70
51.5     m       -0.3521     3.6477      0.08801     2.8        3.1        3.3        3.6      4.0      4.4      4.80
52.0     m       -0.3521     3.7620      0.08771     2.9        3.2        3.5        3.8      4.1      4.5      5.00
52.5     m       -0.3521     3.8814      0.08741     3.0        3.3        3.6        3.9      4.2      4.6      5.10
53.0     m       -0.3521     4.0060      0.08711     3.1        3.4        3.7        4.0      4.4      4.8      5.30
53.5     m       -0.3521     4.1354      0.08681     3.2        3.5        3.8        4.1      4.5      4.9      5.40
54.0     m       -0.3521     4.2693      0.08651     3.3        3.6        3.9        4.3      4.7      5.1      5.60
54.5     m       -0.3521     4.4066      0.08621     3.4        3.7        4.0        4.4      4.8      5.3      5.80
55.0     m       -0.3521     4.5467      0.08592     3.6        3.8        4.2        4.5      5.0      5.4      6.00
55.5     m       -0.3521     4.6892      0.08563     3.7        4.0        4.3        4.7      5.1      5.6      6.10
56.0     m       -0.3521     4.8338      0.08535     3.8        4.1        4.4        4.8      5.3      5.8      6.30
56.5     m       -0.3521     4.9796      0.08507     3.9        4.2        4.6        5.0      5.4      5.9      6.50
57.0     m       -0.3521     5.1259      0.08481     4.0        4.3        4.7        5.1      5.6      6.1      6.70
57.5     m       -0.3521     5.2721      0.08455     4.1        4.5        4.9        5.3      5.7      6.3      6.90
58.0     m       -0.3521     5.4180      0.08430     4.3        4.6        5.0        5.4      5.9      6.4      7.10
58.5     m       -0.3521     5.5632      0.08406     4.4        4.7        5.1        5.6      6.1      6.6      7.20
59.0     m       -0.3521     5.7074      0.08383     4.5        4.8        5.3        5.7      6.2      6.8      7.40
59.5     m       -0.3521     5.8501      0.08362     4.6        5.0        5.4        5.9      6.4      7.0      7.60
60.0     m       -0.3521     5.9907      0.08342     4.7        5.1        5.5        6.0      6.5      7.1      7.80
60.5     m       -0.3521     6.1284      0.08324     4.8        5.2        5.6        6.1      6.7      7.3      8.00
61.0     m       -0.3521     6.2632      0.08308     4.9        5.3        5.8        6.3      6.8      7.4      8.10
61.5     m       -0.3521     6.3954      0.08292     5.0        5.4        5.9        6.4      7.0      7.6      8.30
62.0     m       -0.3521     6.5251      0.08279     5.1        5.6        6.0        6.5      7.1      7.7      8.50
62.5     m       -0.3521     6.6527      0.08266     5.2        5.7        6.1        6.7      7.2      7.9      8.60
63.0     m       -0.3521     6.7786      0.08255     5.3        5.8        6.2        6.8      7.4      8.0      8.80
63.5     m       -0.3521     6.9028      0.08245     5.4        5.9        6.4        6.9      7.5      8.2      8.90
64.0     m       -0.3521     7.0255      0.08236     5.5        6.0        6.5        7.0      7.6      8.3      9.10
64.5     m       -0.3521     7.1467      0.08229     5.6        6.1        6.6        7.1      7.8      8.5      9.30
65.0     m       -0.3521     7.2666      0.08223     5.7        6.2        6.7        7.3      7.9      8.6      9.40
65.5     m       -0.3521     7.3854      0.08218     5.8        6.3        6.8        7.4      8.0      8.7      9.60
66.0     m       -0.3521     7.5034      0.08215     5.9        6.4        6.9        7.5      8.2      8.9      9.70
66.5     m       -0.3521     7.6206      0.08213     6.0        6.5        7.0        7.6      8.3      9.0      9.90
